Dataset,DNN,CMR,FT(%)
MNIST,MNIST_AlexNet_9938,0253,0.8620689655172413
MNIST,MNIST_AlexNet_9938,0254,9.32601880877743
MNIST,MNIST_AlexNet_9938,0256,18.495297805642632
MNIST,MNIST_AlexNet_9938,0261,9.561128526645767
MNIST,MNIST_AlexNet_9938,0263,1.8808777429467085
MNIST,MNIST_AlexNet_9938,0264,12.068965517241379
MNIST,MNIST_AlexNet_9938,0265,21.316614420062695
MNIST,MNIST_AlexNet_9938,0312,2.272727272727273
MNIST,MNIST_AlexNet_9938,0314,18.887147335423197
MNIST,MNIST_AlexNet_9938,0315,3.1347962382445136
MNIST,MNIST_AlexNet_9938,0316,5.015673981191222
MNIST,MNIST_AlexNet_9938,0321,2.4294670846394983
MNIST,MNIST_AlexNet_9938,0324,3.2915360501567394
MNIST,MNIST_AlexNet_9938,0325,1.2539184952978055
MNIST,MNIST_AlexNet_9938,0326,2.3510971786833856
MNIST,MNIST_AlexNet_9938,0341,19.5141065830721
MNIST,MNIST_AlexNet_9938,0342,3.683385579937304
MNIST,MNIST_AlexNet_9938,0345,3.9968652037617556
MNIST,MNIST_AlexNet_9938,0346,4.7805642633228835
MNIST,MNIST_AlexNet_9938,0351,3.369905956112853
MNIST,MNIST_AlexNet_9938,0352,1.1755485893416928
MNIST,MNIST_AlexNet_9938,0354,4.075235109717868
MNIST,MNIST_AlexNet_9938,0356,2.664576802507837
MNIST,MNIST_AlexNet_9938,0361,5.094043887147335
MNIST,MNIST_AlexNet_9938,0362,2.664576802507837
MNIST,MNIST_AlexNet_9938,0364,4.38871473354232
MNIST,MNIST_AlexNet_9938,0365,3.0564263322884013
MNIST,MNIST_AlexNet_9938,0412,15.987460815047022
MNIST,MNIST_AlexNet_9938,0413,17.86833855799373
MNIST,MNIST_AlexNet_9938,0415,17.711598746081506
MNIST,MNIST_AlexNet_9938,0416,19.74921630094044
MNIST,MNIST_AlexNet_9938,0421,16.065830721003135
MNIST,MNIST_AlexNet_9938,0423,3.4482758620689653
MNIST,MNIST_AlexNet_9938,0425,9.561128526645767
MNIST,MNIST_AlexNet_9938,0426,12.147335423197491
MNIST,MNIST_AlexNet_9938,0431,18.808777429467085
MNIST,MNIST_AlexNet_9938,0432,3.369905956112853
MNIST,MNIST_AlexNet_9938,0435,4.153605015673981
MNIST,MNIST_AlexNet_9938,0436,4.858934169278997
MNIST,MNIST_AlexNet_9938,0451,17.711598746081506
MNIST,MNIST_AlexNet_9938,0452,9.32601880877743
MNIST,MNIST_AlexNet_9938,0453,3.0564263322884013
MNIST,MNIST_AlexNet_9938,0456,17.24137931034483
MNIST,MNIST_AlexNet_9938,0461,19.82758620689655
MNIST,MNIST_AlexNet_9938,0462,12.304075235109718
MNIST,MNIST_AlexNet_9938,0463,3.526645768025078
MNIST,MNIST_AlexNet_9938,0465,21.316614420062695
MNIST,MNIST_AlexNet_9938,0512,5.6426332288401255
MNIST,MNIST_AlexNet_9938,0513,2.978056426332288
MNIST,MNIST_AlexNet_9938,0514,17.398119122257054
MNIST,MNIST_AlexNet_9938,0516,18.573667711598745
MNIST,MNIST_AlexNet_9938,0521,5.4858934169279
MNIST,MNIST_AlexNet_9938,0523,0.7836990595611284
MNIST,MNIST_AlexNet_9938,0524,9.717868338557993
MNIST,MNIST_AlexNet_9938,0526,17.946708463949843
MNIST,MNIST_AlexNet_9938,0531,2.74294670846395
MNIST,MNIST_AlexNet_9938,0532,0.9404388714733543
MNIST,MNIST_AlexNet_9938,0534,2.8996865203761755
MNIST,MNIST_AlexNet_9938,0536,2.586206896551724
MNIST,MNIST_AlexNet_9938,0541,17.24137931034483
MNIST,MNIST_AlexNet_9938,0542,9.639498432601881
MNIST,MNIST_AlexNet_9938,0543,3.605015673981191
MNIST,MNIST_AlexNet_9938,0546,17.476489028213166
MNIST,MNIST_AlexNet_9938,0561,18.887147335423197
MNIST,MNIST_AlexNet_9938,0562,18.025078369905955
MNIST,MNIST_AlexNet_9938,0563,1.489028213166144
MNIST,MNIST_AlexNet_9938,0564,17.24137931034483
MNIST,MNIST_AlexNet_9938,0612,9.482758620689655
MNIST,MNIST_AlexNet_9938,0613,4.153605015673981
MNIST,MNIST_AlexNet_9938,0614,19.59247648902821
MNIST,MNIST_AlexNet_9938,0615,22.25705329153605
MNIST,MNIST_AlexNet_9938,0621,9.404388714733543
MNIST,MNIST_AlexNet_9938,0623,2.037617554858934
MNIST,MNIST_AlexNet_9938,0624,12.225705329153605
MNIST,MNIST_AlexNet_9938,0625,21.473354231974923
MNIST,MNIST_AlexNet_9938,0631,4.153605015673981
MNIST,MNIST_AlexNet_9938,0632,1.9592476489028214
MNIST,MNIST_AlexNet_9938,0634,3.369905956112853
MNIST,MNIST_AlexNet_9938,0635,2.507836990595611
MNIST,MNIST_AlexNet_9938,0641,19.905956112852667
MNIST,MNIST_AlexNet_9938,0642,12.225705329153605
MNIST,MNIST_AlexNet_9938,0643,3.761755485893417
MNIST,MNIST_AlexNet_9938,0645,21.630094043887148
MNIST,MNIST_AlexNet_9938,0651,22.25705329153605
MNIST,MNIST_AlexNet_9938,0652,20.846394984326018
MNIST,MNIST_AlexNet_9938,0653,1.8808777429467085
MNIST,MNIST_AlexNet_9938,0654,20.532915360501566
MNIST,MNIST_AlexNet_9938,1023,2.3510971786833856
MNIST,MNIST_AlexNet_9938,1024,16.222570532915363
MNIST,MNIST_AlexNet_9938,1025,5.799373040752351
MNIST,MNIST_AlexNet_9938,1026,9.561128526645767
MNIST,MNIST_AlexNet_9938,1032,2.272727272727273
MNIST,MNIST_AlexNet_9938,1034,18.025078369905955
MNIST,MNIST_AlexNet_9938,1035,3.1347962382445136
MNIST,MNIST_AlexNet_9938,1036,4.858934169278997
MNIST,MNIST_AlexNet_9938,1042,15.830721003134796
MNIST,MNIST_AlexNet_9938,1043,17.946708463949843
MNIST,MNIST_AlexNet_9938,1045,17.476489028213166
MNIST,MNIST_AlexNet_9938,1046,19.82758620689655
MNIST,MNIST_AlexNet_9938,1052,5.6426332288401255
MNIST,MNIST_AlexNet_9938,1053,2.8996865203761755
MNIST,MNIST_AlexNet_9938,1054,17.398119122257054
MNIST,MNIST_AlexNet_9938,1056,18.887147335423197
MNIST,MNIST_AlexNet_9938,1062,9.561128526645767
MNIST,MNIST_AlexNet_9938,1063,4.310344827586207
MNIST,MNIST_AlexNet_9938,1064,19.59247648902821
MNIST,MNIST_AlexNet_9938,1065,22.570532915360502
MNIST,MNIST_AlexNet_9938,1203,2.272727272727273
MNIST,MNIST_AlexNet_9938,1204,15.987460815047022
MNIST,MNIST_AlexNet_9938,1205,5.799373040752351
MNIST,MNIST_AlexNet_9938,1206,9.717868338557993
MNIST,MNIST_AlexNet_9938,1230,2.3510971786833856
MNIST,MNIST_AlexNet_9938,1234,21.9435736677116
MNIST,MNIST_AlexNet_9938,1235,4.153605015673981
MNIST,MNIST_AlexNet_9938,1236,5.094043887147335
MNIST,MNIST_AlexNet_9938,1240,16.614420062695924
MNIST,MNIST_AlexNet_9938,1243,21.39498432601881
MNIST,MNIST_AlexNet_9938,1245,21.15987460815047
MNIST,MNIST_AlexNet_9938,1246,22.33542319749216
MNIST,MNIST_AlexNet_9938,1250,5.329153605015674
MNIST,MNIST_AlexNet_9938,1253,3.761755485893417
MNIST,MNIST_AlexNet_9938,1254,20.846394984326018
MNIST,MNIST_AlexNet_9938,1256,18.181818181818183
MNIST,MNIST_AlexNet_9938,1260,8.699059561128527
MNIST,MNIST_AlexNet_9938,1263,4.153605015673981
MNIST,MNIST_AlexNet_9938,1264,22.178683385579937
MNIST,MNIST_AlexNet_9938,1265,18.181818181818183
MNIST,MNIST_AlexNet_9938,1302,2.272727272727273
MNIST,MNIST_AlexNet_9938,1304,18.181818181818183
MNIST,MNIST_AlexNet_9938,1305,3.2915360501567394
MNIST,MNIST_AlexNet_9938,1306,5.2507836990595615
MNIST,MNIST_AlexNet_9938,1320,2.4294670846394983
MNIST,MNIST_AlexNet_9938,1324,20.611285266457678
MNIST,MNIST_AlexNet_9938,1325,4.310344827586207
MNIST,MNIST_AlexNet_9938,1326,4.7805642633228835
MNIST,MNIST_AlexNet_9938,1340,19.74921630094044
MNIST,MNIST_AlexNet_9938,1342,21.786833855799372
MNIST,MNIST_AlexNet_9938,1345,23.432601880877744
MNIST,MNIST_AlexNet_9938,1346,25.07836990595611
MNIST,MNIST_AlexNet_9938,1350,3.2915360501567394
MNIST,MNIST_AlexNet_9938,1352,4.231974921630094
MNIST,MNIST_AlexNet_9938,1354,22.413793103448278
MNIST,MNIST_AlexNet_9938,1356,6.8181818181818175
MNIST,MNIST_AlexNet_9938,1360,4.38871473354232
MNIST,MNIST_AlexNet_9938,1362,5.172413793103448
MNIST,MNIST_AlexNet_9938,1364,21.70846394984326
MNIST,MNIST_AlexNet_9938,1365,6.0344827586206895
MNIST,MNIST_AlexNet_9938,1402,16.4576802507837
MNIST,MNIST_AlexNet_9938,1403,17.319749216300938
MNIST,MNIST_AlexNet_9938,1405,17.476489028213166
MNIST,MNIST_AlexNet_9938,1406,20.141065830721004
MNIST,MNIST_AlexNet_9938,1420,16.53605015673981
MNIST,MNIST_AlexNet_9938,1423,22.10031347962382
MNIST,MNIST_AlexNet_9938,1425,21.081504702194355
MNIST,MNIST_AlexNet_9938,1426,22.33542319749216
MNIST,MNIST_AlexNet_9938,1430,19.122257053291534
MNIST,MNIST_AlexNet_9938,1432,20.532915360501566
MNIST,MNIST_AlexNet_9938,1435,22.884012539184955
MNIST,MNIST_AlexNet_9938,1436,24.921630094043888
MNIST,MNIST_AlexNet_9938,1450,17.319749216300938
MNIST,MNIST_AlexNet_9938,1452,21.081504702194355
MNIST,MNIST_AlexNet_9938,1453,18.808777429467085
MNIST,MNIST_AlexNet_9938,1456,28.91849529780564
MNIST,MNIST_AlexNet_9938,1460,19.20062695924765
MNIST,MNIST_AlexNet_9938,1462,22.25705329153605
MNIST,MNIST_AlexNet_9938,1463,17.86833855799373
MNIST,MNIST_AlexNet_9938,1465,29.310344827586203
MNIST,MNIST_AlexNet_9938,1502,5.407523510971787
MNIST,MNIST_AlexNet_9938,1503,2.74294670846395
MNIST,MNIST_AlexNet_9938,1504,17.0846394984326
MNIST,MNIST_AlexNet_9938,1506,18.260188087774296
MNIST,MNIST_AlexNet_9938,1520,5.329153605015674
MNIST,MNIST_AlexNet_9938,1523,3.9968652037617556
MNIST,MNIST_AlexNet_9938,1524,20.689655172413794
MNIST,MNIST_AlexNet_9938,1526,18.495297805642632
MNIST,MNIST_AlexNet_9938,1530,2.978056426332288
