Dataset,DNN,CMR,FR(%)
MNIST,MNIST_AlexNet_9938,0136,0.63
MNIST,MNIST_AlexNet_9938,0142,2.03
MNIST,MNIST_AlexNet_9938,0143,2.21
MNIST,MNIST_AlexNet_9938,0145,2.23
MNIST,MNIST_AlexNet_9938,0146,2.5100000000000002
MNIST,MNIST_AlexNet_9938,0152,0.72
MNIST,MNIST_AlexNet_9938,0153,0.33999999999999997
MNIST,MNIST_AlexNet_9938,0154,2.22
MNIST,MNIST_AlexNet_9938,0156,2.36
MNIST,MNIST_AlexNet_9938,0162,1.2
MNIST,MNIST_AlexNet_9938,0163,0.51
MNIST,MNIST_AlexNet_9938,0164,2.5100000000000002
MNIST,MNIST_AlexNet_9938,0165,2.85
MNIST,MNIST_AlexNet_9938,0213,0.3
MNIST,MNIST_AlexNet_9938,0214,2.08
MNIST,MNIST_AlexNet_9938,0215,0.73
MNIST,MNIST_AlexNet_9938,0216,1.24
MNIST,MNIST_AlexNet_9938,0231,0.31
MNIST,MNIST_AlexNet_9938,0234,0.42
MNIST,MNIST_AlexNet_9938,0235,0.13999999999999999
MNIST,MNIST_AlexNet_9938,0236,0.3
MNIST,MNIST_AlexNet_9938,0241,2.07
MNIST,MNIST_AlexNet_9938,0243,0.44
MNIST,MNIST_AlexNet_9938,0245,1.22
MNIST,MNIST_AlexNet_9938,0246,1.5599999999999998
MNIST,MNIST_AlexNet_9938,0251,0.72
MNIST,MNIST_AlexNet_9938,0253,0.11
MNIST,MNIST_AlexNet_9938,0254,1.1900000000000002
MNIST,MNIST_AlexNet_9938,0256,2.36
MNIST,MNIST_AlexNet_9938,0261,1.22
MNIST,MNIST_AlexNet_9938,0263,0.24
MNIST,MNIST_AlexNet_9938,0264,1.54
MNIST,MNIST_AlexNet_9938,0265,2.7199999999999998
MNIST,MNIST_AlexNet_9938,0312,0.29
MNIST,MNIST_AlexNet_9938,0314,2.41
MNIST,MNIST_AlexNet_9938,0315,0.4
MNIST,MNIST_AlexNet_9938,0316,0.64
MNIST,MNIST_AlexNet_9938,0321,0.31
MNIST,MNIST_AlexNet_9938,0324,0.42
MNIST,MNIST_AlexNet_9938,0325,0.16
MNIST,MNIST_AlexNet_9938,0326,0.3
MNIST,MNIST_AlexNet_9938,0341,2.4899999999999998
MNIST,MNIST_AlexNet_9938,0342,0.47000000000000003
MNIST,MNIST_AlexNet_9938,0345,0.51
MNIST,MNIST_AlexNet_9938,0346,0.61
MNIST,MNIST_AlexNet_9938,0351,0.43
MNIST,MNIST_AlexNet_9938,0352,0.15
MNIST,MNIST_AlexNet_9938,0354,0.52
MNIST,MNIST_AlexNet_9938,0356,0.33999999999999997
MNIST,MNIST_AlexNet_9938,0361,0.65
MNIST,MNIST_AlexNet_9938,0362,0.33999999999999997
MNIST,MNIST_AlexNet_9938,0364,0.5599999999999999
MNIST,MNIST_AlexNet_9938,0365,0.38999999999999996
MNIST,MNIST_AlexNet_9938,0412,2.04
MNIST,MNIST_AlexNet_9938,0413,2.2800000000000002
MNIST,MNIST_AlexNet_9938,0415,2.26
MNIST,MNIST_AlexNet_9938,0416,2.52
MNIST,MNIST_AlexNet_9938,0421,2.0500000000000003
MNIST,MNIST_AlexNet_9938,0423,0.44
MNIST,MNIST_AlexNet_9938,0425,1.22
MNIST,MNIST_AlexNet_9938,0426,1.55
MNIST,MNIST_AlexNet_9938,0431,2.4
MNIST,MNIST_AlexNet_9938,0432,0.43
MNIST,MNIST_AlexNet_9938,0435,0.53
MNIST,MNIST_AlexNet_9938,0436,0.62
MNIST,MNIST_AlexNet_9938,0451,2.26
MNIST,MNIST_AlexNet_9938,0452,1.1900000000000002
MNIST,MNIST_AlexNet_9938,0453,0.38999999999999996
MNIST,MNIST_AlexNet_9938,0456,2.1999999999999997
MNIST,MNIST_AlexNet_9938,0461,2.53
MNIST,MNIST_AlexNet_9938,0462,1.5699999999999998
MNIST,MNIST_AlexNet_9938,0463,0.44999999999999996
MNIST,MNIST_AlexNet_9938,0465,2.7199999999999998
MNIST,MNIST_AlexNet_9938,0512,0.72
MNIST,MNIST_AlexNet_9938,0513,0.38
MNIST,MNIST_AlexNet_9938,0514,2.22
MNIST,MNIST_AlexNet_9938,0516,2.37
MNIST,MNIST_AlexNet_9938,0521,0.7000000000000001
MNIST,MNIST_AlexNet_9938,0523,0.1
MNIST,MNIST_AlexNet_9938,0524,1.24
MNIST,MNIST_AlexNet_9938,0526,2.29
MNIST,MNIST_AlexNet_9938,0531,0.35000000000000003
MNIST,MNIST_AlexNet_9938,0532,0.12
MNIST,MNIST_AlexNet_9938,0534,0.37
MNIST,MNIST_AlexNet_9938,0536,0.33
MNIST,MNIST_AlexNet_9938,0541,2.1999999999999997
MNIST,MNIST_AlexNet_9938,0542,1.23
MNIST,MNIST_AlexNet_9938,0543,0.45999999999999996
MNIST,MNIST_AlexNet_9938,0546,2.23
MNIST,MNIST_AlexNet_9938,0561,2.41
MNIST,MNIST_AlexNet_9938,0562,2.3
MNIST,MNIST_AlexNet_9938,0563,0.19
MNIST,MNIST_AlexNet_9938,0564,2.1999999999999997
MNIST,MNIST_AlexNet_9938,0612,1.21
MNIST,MNIST_AlexNet_9938,0613,0.53
MNIST,MNIST_AlexNet_9938,0614,2.5
MNIST,MNIST_AlexNet_9938,0615,2.8400000000000003
MNIST,MNIST_AlexNet_9938,0621,1.2
MNIST,MNIST_AlexNet_9938,0623,0.26
MNIST,MNIST_AlexNet_9938,0624,1.5599999999999998
MNIST,MNIST_AlexNet_9938,0625,2.74
MNIST,MNIST_AlexNet_9938,0631,0.53
MNIST,MNIST_AlexNet_9938,0632,0.25
MNIST,MNIST_AlexNet_9938,0634,0.43
MNIST,MNIST_AlexNet_9938,0635,0.32
MNIST,MNIST_AlexNet_9938,0641,2.54
MNIST,MNIST_AlexNet_9938,0642,1.5599999999999998
MNIST,MNIST_AlexNet_9938,0643,0.48
MNIST,MNIST_AlexNet_9938,0645,2.76
MNIST,MNIST_AlexNet_9938,0651,2.8400000000000003
MNIST,MNIST_AlexNet_9938,0652,2.6599999999999997
MNIST,MNIST_AlexNet_9938,0653,0.24
MNIST,MNIST_AlexNet_9938,0654,2.62
MNIST,MNIST_AlexNet_9938,1023,0.3
MNIST,MNIST_AlexNet_9938,1024,2.07
MNIST,MNIST_AlexNet_9938,1025,0.74
MNIST,MNIST_AlexNet_9938,1026,1.22
MNIST,MNIST_AlexNet_9938,1032,0.29
MNIST,MNIST_AlexNet_9938,1034,2.3
MNIST,MNIST_AlexNet_9938,1035,0.4
MNIST,MNIST_AlexNet_9938,1036,0.62
MNIST,MNIST_AlexNet_9938,1042,2.02
MNIST,MNIST_AlexNet_9938,1043,2.29
MNIST,MNIST_AlexNet_9938,1045,2.23
MNIST,MNIST_AlexNet_9938,1046,2.53
MNIST,MNIST_AlexNet_9938,1052,0.72
MNIST,MNIST_AlexNet_9938,1053,0.37
MNIST,MNIST_AlexNet_9938,1054,2.22
MNIST,MNIST_AlexNet_9938,1056,2.41
MNIST,MNIST_AlexNet_9938,1062,1.22
MNIST,MNIST_AlexNet_9938,1063,0.5499999999999999
MNIST,MNIST_AlexNet_9938,1064,2.5
MNIST,MNIST_AlexNet_9938,1065,2.88
MNIST,MNIST_AlexNet_9938,1203,0.29
MNIST,MNIST_AlexNet_9938,1204,2.04
MNIST,MNIST_AlexNet_9938,1205,0.74
